date,exAAARF,exBAARF,Y
9/1/45,0.001866667,0.002383333,0.046061
10/1/45,0.001866667,0.00235,0.030515
11/1/45,0.001866667,0.002308333,0.04475
12/1/45,0.001858333,0.002266667,0.010833
1/1/46,0.0018,0.002191667,0.069204
2/1/46,0.00175,0.002141667,-0.065471
3/1/46,0.001741667,0.002133333,0.048818
4/1/46,0.001733333,0.00215,0.035448
5/1/46,0.001775,0.0022,0.028485
6/1/46,0.001758333,0.002208333,-0.035589
7/1/46,0.00175,0.002208333,-0.02765
8/1/46,0.001775,0.002208333,-0.069155
9/1/46,0.001833333,0.002266667,-0.104413
10/1/46,0.00185,0.002308333,-0.005936
11/1/46,0.001841667,0.002325,-0.004101
12/1/46,0.001858333,0.002325,0.046518
1/1/47,0.001825,0.002291667,0.021713
2/1/47,0.001808333,0.002283333,-0.008607
3/1/47,0.001808333,0.002308333,-0.015308
4/1/47,0.001791667,0.002316667,-0.03986
5/1/47,0.001791667,0.002325,-0.00129
6/1/47,0.001808333,0.002358333,0.053691
7/1/47,0.001575,0.0021,0.039272
8/1/47,0.001508333,0.002016667,-0.023376
9/1/47,0.001508333,0.002025,-0.010528
10/1/47,0.001541667,0.002083333,0.019978
11/1/47,0.001541667,0.0021,-0.018233
12/1/47,0.001591667,0.002141667,0.029984
1/1/48,0.001575,0.002125,-0.038443
2/1/48,0.001541667,0.002108333,-0.040932
3/1/48,0.001525,0.002108333,0.08054
4/1/48,0.001483333,0.002058333,0.030021
5/1/48,0.001466667,0.001983333,0.083214
6/1/48,0.001466667,0.00195,0.006765
7/1/48,0.001508333,0.001975,-0.053096
8/1/48,0.001483333,0.001983333,0.014639
9/1/48,0.001458333,0.001966667,-0.027416
10/1/48,0.001433333,0.001983333,0.069641
11/1/48,0.001416667,0.001991667,-0.098732
12/1/48,0.001358333,0.001975,0.035552
1/1/49,0.001283333,0.001908333,0.001676
2/1/49,0.001283333,0.0019,-0.032539
3/1/49,0.001275,0.001916667,0.032981
4/1/49,0.001275,0.0019,-0.019591
5/1/49,0.001283333,0.0019,-0.030423
6/1/49,0.001283333,0.001916667,0.000744
7/1/49,0.001375,0.002033333,0.061832
8/1/49,0.001316667,0.001966667,0.0209
9/1/49,0.001275,0.001916667,0.026515
10/1/49,0.0013,0.001925,0.02888
11/1/49,0.001266667,0.001891667,0.019938
12/1/49,0.001233333,0.001841667,0.050084
1/1/50,0.00125,0.001808333,0.018803
2/1/50,0.001216667,0.001766667,0.018703
3/1/50,0.001216667,0.001766667,0.007185
4/1/50,0.001208333,0.001733333,0.044987
5/1/50,0.001208333,0.001741667,0.045902
6/1/50,0.001225,0.001775,-0.055224
7/1/50,0.001241667,0.0018,0.015981
8/1/50,0.001175,0.001691667,0.047063
9/1/50,0.001116667,0.001591667,0.058466
10/1/50,0.001133333,0.001591667,0.003884
11/1/50,0.001091667,0.00155,0.02133
12/1/50,0.001108333,0.00155,0.054325
1/1/51,0.0011,0.001525,0.063805
2/1/51,0.001083333,0.0015,0.013546
3/1/51,0.00115,0.001525,-0.018584
4/1/51,0.001166667,0.001566667,0.047808
5/1/51,0.001116667,0.001541667,-0.031179
6/1/51,0.001241667,0.0017,-0.027048
7/1/51,0.00115,0.001641667,0.069635
8/1/51,0.00105,0.001566667,0.04892
9/1/51,0.001008333,0.001525,0.001668
10/1/51,0.001125,0.001633333,-0.014921
11/1/51,0.001166667,0.001666667,0.010288
12/1/51,0.001066667,0.001566667,0.040615
1/1/52,0.001175,0.001683333,0.016268
2/1/52,0.001158333,0.001658333,-0.026441
3/1/52,0.001141667,0.0016,0.051705
4/1/52,0.001133333,0.001608333,-0.042623
5/1/52,0.00105,0.001516667,0.032398
