"","date","z_minus_3","z_minus_2","z_minus_1","z_0","z_1","z_2","z_3","Y"
"311",1955-11-01,0.0243812215306104,0.0243812469770464,0.0243815013489923,0.0243840428880397,0.0244092427623196,0.024641371604636,0.0258922279412646,0.086125
"312",1955-12-01,0.0255098217018163,0.0255098344692141,0.0255099621195038,0.0255112372217173,0.0255238498674745,0.0256375648805726,0.0261909434714672,-0.002109
"313",1956-01-01,0.0223361085656532,0.0223361047280889,0.022336066368258,0.0223356834208296,0.0223319180315603,0.0222998684000591,0.0221994055828603,-0.037257
"314",1956-02-01,0.0124850492177022,0.0124850878872562,0.0124854745434826,0.0124893379120643,0.0125276549923852,0.0128816382202422,0.0148330869905705,0.039497
"315",1956-03-01,-0.000856515554666072,-0.000856333356046908,-0.000854511709634178,-0.000836313160633136,-0.000656099587439872,0.000985139854792941,0.00935083356058127,0.068828
"316",1956-04-01,0.0155733424072986,0.0155734832008241,0.0155748909498932,0.0155889474891796,0.0157274483818182,0.0169328797557743,0.0218037081477583,-0.002537
"317",1956-05-01,0.0204384172949349,0.0204384309230884,0.020438567187863,0.0204399292380017,0.0204534895198643,0.0205826982909064,0.0213580757949774,-0.060714
"318",1956-06-01,0.0175896791479535,0.0175896844178998,0.0175897370953044,0.0175902618104868,0.0175953073875749,0.0176292375403961,0.0175350308468178,0.03691
"319",1956-07-01,0.0116998787647167,0.0116998928089871,0.01170003325442,0.0117014364377507,0.011715342143192,0.0118428236712517,0.0125110175695154,0.049227
"320",1956-08-01,0.00820451585680815,0.00820456226162818,0.00820502620908044,0.00820966010757786,0.00825544905796591,0.0086646017503034,0.0105810456372897,-0.034488
"321",1956-09-01,0.00291349832630994,0.00291356981936845,0.00291428459257733,0.00292142393309043,0.0029919893752052,0.00362408042009884,0.00661806303312941,-0.045822
"322",1956-10-01,0.00346166926428233,0.00346168733420175,0.00346186798089529,0.00346367236322668,0.00348151075217341,0.00364172246444995,0.00442648015479699,0.004119
"323",1956-11-01,0.00185343614058788,0.00185349096534409,0.00185403918023434,0.00185951616560802,0.00191377457703449,0.00240982960494751,0.00500360574999811,-0.003921
"324",1956-12-01,-0.00458102763227522,-0.00458099783752553,-0.00458069986854847,-0.00457772132733035,-0.00454805163544095,-0.00426327224524991,-0.00240059004506655,0.033884
"325",1957-01-01,0.00133409388435308,0.00133410808806386,0.00133425010749174,0.0013356704171637,0.00134988237186179,0.00149070012552353,0.00243673096133545,-0.042938
"326",1957-02-01,0.00357489533276683,0.00357488672194128,0.00357480063308458,0.00357394202529368,0.00356557901576223,0.00350011243198081,0.00337205401837984,-0.027319
"327",1957-03-01,-0.00269353004302646,-0.00269352322419424,-0.00269345511773332,-0.00269277511152917,-0.00268607831393008,-0.00262787471726732,-0.00237572585009553,0.021527
"328",1957-04-01,-0.00152683391599699,-0.00152685979332533,-0.0015271185478009,-0.00152970676501244,-0.00155564889281254,-0.00181533295527385,-0.00352920410876986,0.044038
"329",1957-05-01,-0.0192047878436151,-0.0192046539748807,-0.0192033159064993,-0.0191899467736194,-0.0190573958419104,-0.0178369704722356,-0.0112642956461621,0.036134
"330",1957-06-01,0.00372923533412523,0.00372932472980044,0.00373021844868404,0.00373913342262466,0.00382611054169346,0.00451865126785762,0.00619944995631718,-0.003105
"331",1957-07-01,-0.000441128068148462,-0.00044111884806129,-0.000441026690413009,-0.000440102741421733,-0.000430634256916962,-0.000320098098918623,0.0006978826262373,0.006747
"332",1957-08-01,-0.00622037728474838,-0.00622031511074265,-0.00621969347556691,-0.00621348518518805,-0.00615219719956809,-0.00560925053391918,-0.00320179545636509,-0.051498
"333",1957-09-01,-0.00167990712386435,-0.00167993201502,-0.00168018085549558,-0.00168266252937614,-0.0017068220386461,-0.00189556677457439,-0.00232283602882545,-0.060479
"334",1957-10-01,-0.0183873754250927,-0.0183872487949483,-0.0183859827357044,-0.0183733340814023,-0.0182480287889411,-0.0171027730145262,-0.0111725699393166,-0.041734
"335",1957-11-01,-0.0113425112752038,-0.0113424914541108,-0.0113422933068847,-0.0113403116844067,-0.0113204835389076,-0.0111238758076753,-0.00977342944933304,0.020903
"336",1957-12-01,-0.00462935229784115,-0.0046293589809054,-0.00462942579719634,-0.00463009324674096,-0.0046366972497149,-0.00469638186203689,-0.00498746181785218,-0.039822
"337",1958-01-01,-0.0116270660042501,-0.0116270665362272,-0.0116270718539409,-0.0116271247492753,-0.0116276260797241,-0.0116303589914736,-0.0115983176638016,0.042718
"338",1958-02-01,-0.00223187628229471,-0.0022318925837001,-0.0022320555713929,-0.00223368407188538,-0.00224983268506415,-0.00239872432747105,-0.00320492307146878,-0.015309
"339",1958-03-01,-0.00139634943059222,-0.00139636448506038,-0.0013965149774553,-0.00139801861503824,-0.00141292782557933,-0.0015502986653333,-0.00229266494397515,0.032152
"340",1958-04-01,0.00200099657460749,0.00200096278148656,0.0020006249390974,0.00199724929285826,0.00196376779291225,0.00165440829641297,-3.98511528506872e-05,0.032711
"341",1958-05-01,0.00119046924250582,0.00119043298484535,0.00119007049237649,0.00118644878884734,0.00115055042195849,0.000820758804450519,-0.000943089698846447,0.020213
"342",1958-06-01,-0.00166745159297395,-0.00166747521561386,-0.00166771139892417,-0.00167007117513929,-0.00169346531269238,-0.00190872600733736,-0.00307084748168734,0.027698
"343",1958-07-01,-0.00032219654340071,-0.000322210982805967,-0.00032235529655362,-0.000323797148941435,-0.000338088994691788,-0.00046939721660491,-0.00117159325942274,0.04326
"344",1958-08-01,0.00489042135098721,0.00489038850278443,0.00489006010813807,0.00488677916589008,0.00485426682544656,0.00455632306982242,0.0029887869872385,0.017599
"345",1958-09-01,0.00850588360063293,0.0085058699505991,0.00850573347357603,0.00850436980993514,0.00849084281582827,0.00836571017607933,0.00767256393832813,0.048937
"346",1958-10-01,0.0156594511404924,0.0156594521471693,0.0156594622078251,0.0156595627193964,0.0156605584768093,0.0156696612597684,0.0157167951160519,0.02557
"347",1958-11-01,0.021129670733608,0.0211296729875904,0.0211296955226885,0.021129920655281,0.021132150379225,0.0211524799944647,0.0212562627029658,0.027517
"348",1958-12-01,0.0248144905306665,0.0248144635872753,0.0248141942497143,0.024811503647537,0.0247848714456015,0.0245433601859057,0.0233468748653672,0.051912
"349",1959-01-01,0.0287449708449301,0.0287449766194383,0.0287450343509121,0.0287456111960579,0.0287513332100979,0.0288042989337352,0.0291038989326521,0.004231
"350",1959-02-01,0.0253447551870605,0.0253447612273953,0.0253448216242331,0.0253454252873338,0.0253514313970998,0.0254084529298921,0.0257621077838671,0.004811
"351",1959-03-01,0.0257723079214873,0.0257723560673972,0.0257728374208779,0.0257776408005051,0.0258246797462065,0.0262126930017508,0.0274359601234723,0.001152
"352",1959-04-01,0.024069631984573,0.0240696424241576,0.0240697468061925,0.0240707898403483,0.0240811420302893,0.0241772718577428,0.0247091429899098,0.038054
"353",1959-05-01,0.0243515027210624,0.0243515109702717,0.0243515934944809,0.0243524186170234,0.0243606566328216,0.0244410236972747,0.0249752645255018,0.021431
