,date,z_minus_3,z_minus_2,z_minus_1,z_0,z_1,z_2,z_3,Y,,,,,,,,,,,,,,,,
156,12/1/42,NA,NA,NA,NA,NA,NA,NA,0.057237,,,,,,,,,,,,,,,,
157,1/1/43,NA,NA,NA,NA,NA,NA,NA,0.072134,,,,,,,,,,,,,,,,
158,2/1/43,NA,NA,NA,NA,NA,NA,NA,0.058203,,,,,,,,,,,,,,,,
159,3/1/43,NA,NA,NA,NA,NA,NA,NA,0.059104,,,,,,,,,,,,,,,,
160,4/1/43,NA,NA,NA,NA,NA,NA,NA,0.003288,,,,,,,,,,,,,,,,
161,5/1/43,NA,NA,NA,NA,NA,NA,NA,0.052398,,,,,,,,,,,,,,,,
162,6/1/43,NA,NA,NA,NA,NA,NA,NA,0.021389,,,,,,,,,,,,,,,,
163,7/1/43,NA,NA,NA,NA,NA,NA,NA,-0.053392,,,,,,,,,,,,,,,,
164,8/1/43,NA,NA,NA,NA,NA,NA,NA,0.015932,,,,,,,,,,,,,,,,
165,9/1/43,NA,NA,NA,NA,NA,NA,NA,0.027198,,,,,,,,,,,,,,,,
166,10/1/43,NA,NA,NA,NA,NA,NA,NA,-0.01195,,,,,,,,,,,,,,,,
167,11/1/43,NA,NA,NA,NA,NA,NA,NA,-0.067352,,,,,,,,,,,,,,,,
168,12/1/43,NA,NA,NA,NA,NA,NA,NA,0.070005,,,,,,,,,,,,,,,,
169,1/1/44,NA,NA,NA,NA,NA,NA,NA,0.018322,,,,,,,,,,,,,,,,
170,2/1/44,NA,NA,NA,NA,NA,NA,NA,0.006179,,,,,,,,,,,,,,,,
171,3/1/44,NA,NA,NA,NA,NA,NA,NA,0.021113,,,,,,,,,,,,,,,,
172,4/1/44,NA,NA,NA,NA,NA,NA,NA,-0.012727,,,,,,,,,,,,,,,,
173,5/1/44,NA,NA,NA,NA,NA,NA,NA,0.048541,,,,,,,,,,,,,,,,
174,6/1/44,NA,NA,NA,NA,NA,NA,NA,0.054274,,,,,,,,,,,,,,,,
175,7/1/44,NA,NA,NA,NA,NA,NA,NA,-0.01977,,,,,,,,,,,,,,,,
176,8/1/44,NA,NA,NA,NA,NA,NA,NA,0.0144,,,,,,,,,,,,,,,,
177,9/1/44,NA,NA,NA,NA,NA,NA,NA,-0.000892,,,,,,,,,,,,,,,,
178,10/1/44,NA,NA,NA,NA,NA,NA,NA,0.002135,,,,,,,,,,,,,,,,
179,11/1/44,NA,NA,NA,NA,NA,NA,NA,0.017027,,,,,,,,,,,,,,,,
180,12/1/44,NA,NA,NA,NA,NA,NA,NA,0.044578,,,,,,,,,,,,,,,,
181,1/1/45,0.006900616,0.006850041,0.006386439,0.003804396,0.000569662,0.003344629,0.005167994,0.011601,8.0054E-05,7.94673E-05,7.40891E-05,4.41348E-05,6.60865E-06,3.8801E-05,5.99539E-05,6.25472E-05,,,,,,,,
182,2/1/45,-0.00531635,-0.005263156,-0.004746896,-0.000962342,0.005795621,0.00605366,0.005353425,0.069272,-0.000368274,-0.000364589,-0.000328827,-6.66634E-05,0.000401474,0.000419349,0.000370842,0.000355537,,,,,,,,
183,3/1/45,0.025253444,0.025243624,0.025154951,0.024617474,0.021258762,0.012064861,0.006463763,-0.041885,-0.001057741,-0.001057329,-0.001053615,-0.001031103,-0.000890423,-0.000505337,-0.000270735,-0.000225732,,,,,,,,
184,4/1/45,0.027619464,0.027497225,0.026353773,0.019284843,0.008668162,0.006773971,0.005329591,0.090224,0.002491939,0.00248091,0.002377743,0.001739956,0.000782076,0.000611175,0.000480857,0.000430741,,,,,,,,
185,5/1/45,0.002003291,0.002000705,0.001975663,0.001814548,0.002118838,0.003886315,0.005065059,0.019741,3.9547E-05,3.94959E-05,3.90016E-05,3.5821E-05,4.1828E-05,7.67197E-05,9.99893E-05,0.0001059,,,,,,,,
186,6/1/45,0.005107382,0.005107228,0.005105009,0.005073219,0.005155501,0.005412718,0.005485689,0.00218,1.11341E-05,1.11338E-05,1.11289E-05,1.10596E-05,1.1239E-05,1.17997E-05,1.19588E-05,1.21002E-05,,,,,,,,
187,7/1/45,0.005442462,0.005439885,0.005415657,0.005262576,0.005054845,0.005423626,0.006185376,-0.021839,-0.000118858,-0.000118802,-0.000118273,-0.000114929,-0.000110393,-0.000118447,-0.000135082,-0.000140703,,,,,,,,
188,8/1/45,0.012655503,0.012650031,0.012596496,0.012169686,0.01064134,0.007746247,0.006295352,0.059552,0.000753661,0.000753335,0.000750147,0.000724729,0.000633713,0.000461305,0.000374901,0.000364305,,,,,,,,
189,9/1/45,-0.010027493,-0.010029034,-0.010042332,-0.010026407,-0.007717498,0.00084487,0.005562094,0.046061,-0.000461876,-0.000461947,-0.00046256,-0.000461826,-0.000355476,3.89155E-05,0.000256196,0.000294362,,,,,,,,
190,10/1/45,0.039188617,0.039182182,0.039117611,0.03846588,0.033007047,0.016757229,0.008612776,0.030515,0.001195841,0.001195644,0.001193674,0.001173786,0.00100721,0.000511347,0.000262819,0.000224138,,,,,,,,
191,11/1/45,0.008397443,0.008400401,0.008431337,0.008800851,0.01150017,0.011872812,0.008711695,0.04475,0.000375786,0.000375918,0.000377302,0.000393838,0.000514633,0.000531308,0.000389848,0.000357311,,,,,,,,
192,12/1/45,0.038625393,0.038615357,0.038515557,0.037573366,0.031631095,0.018752301,0.010115809,0.010833,0.000418429,0.00041832,0.000417239,0.000407032,0.00034266,0.000203144,0.000109585,9.04565E-05,,,,,,,,
193,1/1/46,0.008086809,0.008086677,0.008085965,0.008114641,0.008558055,0.008886859,0.008804766,0.069204,0.00055964,0.00055963,0.000559581,0.000561566,0.000592252,0.000615006,0.000609325,0.000610044,,,,,,,,
194,2/1/46,0.00769085,0.007689524,0.007677262,0.007614317,0.00773878,0.008212466,0.008708752,-0.065471,-0.000503528,-0.000503441,-0.000502638,-0.000498517,-0.000506666,-0.000537678,-0.000570171,-0.000581202,,,,,,,,
195,3/1/46,0.006190963,0.0061893,0.006173641,0.006075757,0.006025581,0.006718509,0.007627027,0.048818,0.00030223,0.000302149,0.000301385,0.000296606,0.000294157,0.000327984,0.000372336,0.000385632,,,,,,,,
196,4/1/46,0.008737787,0.008735151,0.008710163,0.008544654,0.008241863,0.008143895,0.008420803,0.035448,0.000309737,0.000309644,0.000308758,0.000302891,0.000292158,0.000288685,0.000298501,0.000303464,,,,,,,,
197,5/1/46,0.008674842,0.00867278,0.008653503,0.008535284,0.008376655,0.008585321,0.009099261,0.028485,0.000247103,0.000247044,0.000246495,0.000243128,0.000238609,0.000244553,0.000259192,0.000264301,,,,,,,,
198,6/1/46,0.011626908,0.011624966,0.011606278,0.011469118,0.011047848,0.010338193,0.010161983,-0.035589,-0.00041379,-0.000413721,-0.000413056,-0.000408174,-0.000393182,-0.000367926,-0.000361655,-0.000363247,,,,,,,,
199,7/1/46,0.009904308,0.009901527,0.009875287,0.009702589,0.009306145,0.008915601,0.009076988,-0.02765,-0.000273854,-0.000273777,-0.000273052,-0.000268277,-0.000257315,-0.000246516,-0.000250979,-0.000254369,,,,,,,,
200,8/1/46,0.007810202,0.007808359,0.007791022,0.007682343,0.007600972,0.00830096,0.009210646,-0.069155,-0.000540115,-0.000539987,-0.000538788,-0.000531272,-0.000525645,-0.000574053,-0.000636962,-0.000654799,,,,,,,,
201,9/1/46,0.007788764,0.007786499,0.007765108,0.007627929,0.007483568,0.008048617,0.008815829,-0.104413,-0.000813248,-0.000813012,-0.000810778,-0.000796455,-0.000781382,-0.00084038,-0.000920487,-0.000944189,,,,,,,,
202,10/1/46,0.010255704,0.010253916,0.010237023,0.01012616,0.009895334,0.009722151,0.009941468,-0.005936,-6.08779E-05,-6.08672E-05,-6.0767E-05,-6.01089E-05,-5.87387E-05,-5.77107E-05,-5.90126E-05,-5.97246E-05,,,,,,,,
203,11/1/46,0.009137496,0.009135437,0.009116065,0.008992895,0.00881601,0.009018481,0.009452142,-0.004101,-3.74729E-05,-3.74644E-05,-3.7385E-05,-3.68799E-05,-3.61545E-05,-3.69848E-05,-3.87632E-05,-3.94011E-05,,,,,,,,
